Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Guyana,2020-01-09,0.0
Guyana,2020-01-10,0.0
Guyana,2020-01-11,0.0
Guyana,2020-01-12,0.0
Guyana,2020-01-13,0.0
Guyana,2020-01-14,0.0
Guyana,2020-01-15,0.0
Guyana,2020-01-16,0.0
Guyana,2020-01-17,0.0
Guyana,2020-01-18,0.0
Guyana,2020-01-19,0.0
Guyana,2020-01-20,0.0
Guyana,2020-01-21,0.0
Guyana,2020-01-22,0.0
Guyana,2020-01-23,0.0
Guyana,2020-01-24,0.0
Guyana,2020-01-25,0.0
Guyana,2020-01-26,0.0
Guyana,2020-01-27,0.0
Guyana,2020-01-28,0.0
Guyana,2020-01-29,0.0
Guyana,2020-01-30,0.0
Guyana,2020-01-31,0.0
Guyana,2020-02-01,0.0
Guyana,2020-02-02,0.0
Guyana,2020-02-03,0.0
Guyana,2020-02-04,0.0
Guyana,2020-02-05,0.0
Guyana,2020-02-06,0.0
Guyana,2020-02-07,0.0
Guyana,2020-02-08,0.0
Guyana,2020-02-09,0.0
Guyana,2020-02-10,0.0
Guyana,2020-02-11,0.0
Guyana,2020-02-12,0.0
Guyana,2020-02-13,0.0
Guyana,2020-02-14,0.0
Guyana,2020-02-15,0.0
Guyana,2020-02-16,0.0
Guyana,2020-02-17,0.0
Guyana,2020-02-18,0.0
Guyana,2020-02-19,0.0
Guyana,2020-02-20,0.0
Guyana,2020-02-21,0.0
Guyana,2020-02-22,0.0
Guyana,2020-02-23,0.0
Guyana,2020-02-24,0.0
Guyana,2020-02-25,0.0
Guyana,2020-02-26,0.0
Guyana,2020-02-27,0.0
Guyana,2020-02-28,0.0
Guyana,2020-02-29,0.0
Guyana,2020-03-01,0.0
Guyana,2020-03-02,0.0
Guyana,2020-03-03,0.0
Guyana,2020-03-04,0.0
Guyana,2020-03-05,0.0
Guyana,2020-03-06,0.0
Guyana,2020-03-07,0.0
Guyana,2020-03-08,0.0
Guyana,2020-03-09,0.0
Guyana,2020-03-10,0.0
Guyana,2020-03-11,0.0
Guyana,2020-03-12,0.0
Guyana,2020-03-13,0.17386913
Guyana,2020-03-14,0.17386913
Guyana,2020-03-15,0.17386913
Guyana,2020-03-16,0.69547653
Guyana,2020-03-17,0.69547653
Guyana,2020-03-18,0.69547653
Guyana,2020-03-19,0.69547653
Guyana,2020-03-20,0.69547653
Guyana,2020-03-21,0.69547653
Guyana,2020-03-22,0.69547653
Guyana,2020-03-23,0.17386913
Guyana,2020-03-24,0.17386913
Guyana,2020-03-25,0.17386913
Guyana,2020-03-26,0.17386913
Guyana,2020-03-27,0.0
Guyana,2020-03-28,0.0
Guyana,2020-03-29,0.0
Guyana,2020-03-30,0.0
Guyana,2020-03-31,0.5216074
Guyana,2020-04-01,1.2170839
Guyana,2020-04-02,2.4341679
Guyana,2020-04-03,2.4341679
Guyana,2020-04-04,2.4341679
Guyana,2020-04-05,3.1296444
Guyana,2020-04-06,3.3035135
Guyana,2020-04-07,3.6512518
Guyana,2020-04-08,3.3035135
Guyana,2020-04-09,2.4341679
Guyana,2020-04-10,3.1296444
Guyana,2020-04-11,3.1296444
Guyana,2020-04-12,2.4341679
Guyana,2020-04-13,2.2602987
Guyana,2020-04-14,3.1296444
Guyana,2020-04-15,2.7819061
Guyana,2020-04-16,2.608037
Guyana,2020-04-17,3.1296444
Guyana,2020-04-18,3.4773827
Guyana,2020-04-19,4.5205975
Guyana,2020-04-20,4.5205975
Guyana,2020-04-21,3.1296444
Guyana,2020-04-22,3.3035135
Guyana,2020-04-23,3.3035135
Guyana,2020-04-24,2.0864296
Guyana,2020-04-25,2.2602987
Guyana,2020-04-26,1.7386913
Guyana,2020-04-27,1.9125605
Guyana,2020-04-28,1.5648222
Guyana,2020-04-29,1.3909531
Guyana,2020-04-30,1.3909531
Guyana,2020-05-01,1.9125605
Guyana,2020-05-02,2.0864296
Guyana,2020-05-03,1.5648222
Guyana,2020-05-04,1.3909531
Guyana,2020-05-05,1.3909531
Guyana,2020-05-06,3.1296444
Guyana,2020-05-07,3.1296444
Guyana,2020-05-08,2.608037
Guyana,2020-05-09,1.9125605
Guyana,2020-05-10,1.9125605
Guyana,2020-05-11,2.608037
Guyana,2020-05-12,3.825121
Guyana,2020-05-13,2.9557753
Guyana,2020-05-14,3.4773827
Guyana,2020-05-15,3.4773827
Guyana,2020-05-16,3.4773827
Guyana,2020-05-17,3.99899
Guyana,2020-05-18,3.4773827
Guyana,2020-05-19,2.2602987
Guyana,2020-05-20,2.608037
Guyana,2020-05-21,2.0864296
Guyana,2020-05-22,2.0864296
Guyana,2020-05-23,2.4341679
Guyana,2020-05-24,1.9125605
Guyana,2020-05-25,1.7386913
Guyana,2020-05-26,3.1296444
Guyana,2020-05-27,2.2602987
Guyana,2020-05-28,2.4341679
Guyana,2020-05-29,2.4341679
Guyana,2020-05-30,3.99899
Guyana,2020-05-31,3.99899
Guyana,2020-06-01,4.3467283
Guyana,2020-06-02,3.1296444
Guyana,2020-06-03,2.7819061
Guyana,2020-06-04,2.4341679
Guyana,2020-06-05,2.4341679
Guyana,2020-06-06,0.5216074
Guyana,2020-06-07,0.5216074
Guyana,2020-06-08,0.34773827
Guyana,2020-06-09,0.17386913
Guyana,2020-06-10,0.17386913
Guyana,2020-06-11,0.5216074
Guyana,2020-06-12,0.5216074
Guyana,2020-06-13,0.86934566
Guyana,2020-06-14,1.0432148
Guyana,2020-06-15,0.86934566
Guyana,2020-06-16,0.86934566
Guyana,2020-06-17,0.86934566
Guyana,2020-06-18,2.608037
Guyana,2020-06-19,4.6944666
Guyana,2020-06-20,4.3467283
Guyana,2020-06-21,4.172859
Guyana,2020-06-22,4.172859
Guyana,2020-06-23,4.3467283
Guyana,2020-06-24,7.99798
Guyana,2020-06-25,6.0854197
Guyana,2020-06-26,4.5205975
Guyana,2020-06-27,5.5638123
Guyana,2020-06-28,8.171849
Guyana,2020-06-29,8.171849
Guyana,2020-06-30,7.99798
Guyana,2020-07-01,5.216074
Guyana,2020-07-02,6.780896
Guyana,2020-07-03,6.780896
Guyana,2020-07-04,6.0854197
Guyana,2020-07-05,4.5205975
Guyana,2020-07-06,7.3025036
Guyana,2020-07-07,7.4763727
Guyana,2020-07-08,7.4763727
Guyana,2020-07-09,6.780896
Guyana,2020-07-10,6.433158
Guyana,2020-07-11,6.259289
Guyana,2020-07-12,5.9115505
Guyana,2020-07-13,3.3035135
Guyana,2020-07-14,4.172859
Guyana,2020-07-15,3.825121
Guyana,2020-07-16,4.172859
Guyana,2020-07-17,4.8683357
Guyana,2020-07-18,5.042205
Guyana,2020-07-19,5.216074
Guyana,2020-07-20,6.259289
Guyana,2020-07-21,6.780896
Guyana,2020-07-22,6.433158
Guyana,2020-07-23,5.389943
Guyana,2020-07-24,6.433158
Guyana,2020-07-25,6.259289
Guyana,2020-07-26,5.5638123
Guyana,2020-07-27,5.7376814
Guyana,2020-07-28,5.9115505
Guyana,2020-07-29,9.041195
Guyana,2020-07-30,9.910541
Guyana,2020-07-31,8.345718
Guyana,2020-08-01,8.693457
Guyana,2020-08-02,10.606017
Guyana,2020-08-03,12.170839
Guyana,2020-08-04,18.08239
Guyana,2020-08-05,14.778876
Guyana,2020-08-06,17.560783
Guyana,2020-08-07,19.299475
Guyana,2020-08-08,23.820072
Guyana,2020-08-09,21.733643
Guyana,2020-08-10,21.559772
Guyana,2020-08-11,16.343699
Guyana,2020-08-12,16.343699
Guyana,2020-08-13,18.25626
Guyana,2020-08-14,19.821081
Guyana,2020-08-15,16.16983
Guyana,2020-08-16,19.299475
Guyana,2020-08-17,20.864296
Guyana,2020-08-18,24.515549
Guyana,2020-08-19,24.515549
Guyana,2020-08-20,23.472334
Guyana,2020-08-21,26.601978
Guyana,2020-08-22,37.381866
Guyana,2020-08-23,40.33764
Guyana,2020-08-24,43.641155
Guyana,2020-08-25,42.77181
Guyana,2020-08-26,55.638123
Guyana,2020-08-27,56.159733
Guyana,2020-08-28,55.116516
Guyana,2020-08-29,51.117527
Guyana,2020-08-30,51.986874
Guyana,2020-08-31,45.03211
Guyana,2020-09-01,48.50949
Guyana,2020-09-02,48.16175
Guyana,2020-09-03,54.42104
Guyana,2020-09-04,50.24818
Guyana,2020-09-05,45.379845
Guyana,2020-09-06,41.033115
Guyana,2020-09-07,47.814014
Guyana,2020-09-08,40.68538
Guyana,2020-09-09,44.16276
Guyana,2020-09-10,41.728592
Guyana,2020-09-11,55.811993
Guyana,2020-09-12,60.68033
Guyana,2020-09-13,60.332592
Guyana,2020-09-14,61.375805
Guyana,2020-09-15,66.93962
Guyana,2020-09-16,56.3336
Guyana,2020-09-17,59.98485
